(id, name, type, damping, friction, range_lower, range_upper, max_force, max_velocity, name, axis, parent_frame_pos, parent_frame_axis, parent_index)
(0, b'floating_base', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'trunk', (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), -1)
(1, b'imu_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'imu_link', (0.0, 0.0, 0.0), (-0.008987, -0.002243, -0.003013), (0.0, 0.0, 0.0, 1.0), 0)
(2, b'FR_hip_joint', 0, 7, 6, 1, 0.0, 0.0, -0.75, 0.75, 91.0035, 19.69, b'FR_hip', (1.0, 0.0, 0.0), (0.33651299999999995, -0.07424299999999999, -0.003013), (0.0, 0.0, 0.0, 1.0), 0)
(3, b'FR_thigh_joint', 0, 8, 7, 1, 0.0, 0.0, -1.0, 3.5, 93.33, 23.32, b'FR_thigh', (0.0, 1.0, 0.0), (0.020298, -0.116992, -0.000109), (0.0, 0.0, 0.0, 1.0), 2)
(4, b'FR_calf_joint', 0, 9, 8, 1, 0.0, 0.0, -2.6, -0.6, 140.0, 15.55, b'FR_calf', (0.0, 1.0, 0.0), (0.000235, -0.028704, -0.29583099999999996), (0.0, 0.0, 0.0, 1.0), 3)
(5, b'FR_foot_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_foot', (0.0, 0.0, 0.0), (-0.005237, 0.0, -0.14719499999999996), (0.0, 0.0, 0.0, 1.0), 4)
(6, b'FR_calf_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_calf_rotor', (0.0, 0.0, 0.0), (0.000235, 0.023196, 0.054169), (0.0, 0.0, 0.0, 1.0), 3)
(7, b'FR_thigh_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_thigh_rotor', (0.0, 0.0, 0.0), (0.020298, 0.00040799999999999864, -0.000109), (0.0, 0.0, 0.0, 1.0), 2)
(8, b'FR_hip_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_hip_rotor', (0.0, 0.0, 0.0), (0.186513, -0.07424299999999999, -0.003013), (0.0, 0.0, 0.0, 1.0), 0)
(9, b'FL_hip_joint', 0, 10, 9, 1, 0.0, 0.0, -0.75, 0.75, 91.0035, 19.69, b'FL_hip', (1.0, 0.0, 0.0), (0.33651299999999995, 0.069757, -0.003013), (0.0, 0.0, 0.0, 1.0), 0)
(10, b'FL_thigh_joint', 0, 11, 10, 1, 0.0, 0.0, -1.0, 3.5, 93.33, 23.32, b'FL_thigh', (0.0, 1.0, 0.0), (0.020298, 0.116992, -0.000109), (0.0, 0.0, 0.0, 1.0), 9)
(11, b'FL_calf_joint', 0, 12, 11, 1, 0.0, 0.0, -2.6, -0.6, 140.0, 15.55, b'FL_calf', (0.0, 1.0, 0.0), (0.000235, 0.028704, -0.29583099999999996), (0.0, 0.0, 0.0, 1.0), 10)
(12, b'FL_foot_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FL_foot', (0.0, 0.0, 0.0), (-0.005237, 0.0, -0.14719499999999996), (0.0, 0.0, 0.0, 1.0), 11)
(13, b'FL_calf_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FL_calf_rotor', (0.0, 0.0, 0.0), (0.000235, -0.023196, 0.054169), (0.0, 0.0, 0.0, 1.0), 10)
(14, b'FL_thigh_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FL_thigh_rotor', (0.0, 0.0, 0.0), (0.020298, -0.00040799999999999864, -0.000109), (0.0, 0.0, 0.0, 1.0), 9)
(15, b'FL_hip_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FL_hip_rotor', (0.0, 0.0, 0.0), (0.186513, 0.069757, -0.003013), (0.0, 0.0, 0.0, 1.0), 0)
(16, b'RR_hip_joint', 0, 13, 12, 1, 0.0, 0.0, -0.75, 0.75, 91.0035, 19.69, b'RR_hip', (1.0, 0.0, 0.0), (-0.354487, -0.07424299999999999, -0.003013), (0.0, 0.0, 0.0, 1.0), 0)
(17, b'RR_thigh_joint', 0, 14, 13, 1, 0.0, 0.0, -1.0, 3.5, 93.33, 23.32, b'RR_thigh', (0.0, 1.0, 0.0), (-0.020298, -0.116992, -0.000109), (0.0, 0.0, 0.0, 1.0), 16)
(18, b'RR_calf_joint', 0, 15, 14, 1, 0.0, 0.0, -2.6, -0.6, 140.0, 15.55, b'RR_calf', (0.0, 1.0, 0.0), (0.000235, -0.028704, -0.29583099999999996), (0.0, 0.0, 0.0, 1.0), 17)
(19, b'RR_foot_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'RR_foot', (0.0, 0.0, 0.0), (-0.005237, 0.0, -0.14719499999999996), (0.0, 0.0, 0.0, 1.0), 18)
(20, b'RR_calf_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'RR_calf_rotor', (0.0, 0.0, 0.0), (0.000235, 0.023196, 0.054169), (0.0, 0.0, 0.0, 1.0), 17)
(21, b'RR_thigh_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'RR_thigh_rotor', (0.0, 0.0, 0.0), (-0.020298, 0.00040799999999999864, -0.000109), (0.0, 0.0, 0.0, 1.0), 16)
(22, b'RR_hip_rotor_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'RR_hip_rotor', (0.0, 0.0, 0.0), (-0.204487, -0.07424299999999999, -0.003013), (0.0, 0.0, 0.0, 1.0), 0)
